season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system
1,1,John O'Hurley,99,finalist,2,3,20.0,30.0,0.6666666666666666,6,0.18348623853211007,2.0,False,Rank
1,2,John O'Hurley,99,finalist,2,3,26.0,30.0,0.8666666666666667,6,0.21487603305785125,1.0,False,Rank
1,3,John O'Hurley,99,finalist,2,3,24.0,30.0,0.8,5,0.22641509433962267,2.0,False,Rank
1,4,John O'Hurley,99,finalist,2,3,21.0,30.0,0.7,4,0.2282608695652174,3.0,False,Rank
1,5,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,3,0.3698630136986301,1.0,False,Rank
1,6,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,2,0.4954128440366973,2.0,False,Rank
1,1,Kelly Monaco,99,finalist,1,3,13.0,30.0,0.43333333333333335,6,0.11926605504587157,6.0,False,Rank
1,2,Kelly Monaco,99,finalist,1,3,17.0,30.0,0.5666666666666667,6,0.14049586776859505,5.0,False,Rank
1,3,Kelly Monaco,99,finalist,1,3,21.0,30.0,0.7,5,0.1981132075471698,4.0,False,Rank
1,4,Kelly Monaco,99,finalist,1,3,26.0,30.0,0.8666666666666667,4,0.28260869565217395,1.0,False,Rank
1,5,Kelly Monaco,99,finalist,1,3,23.5,30.0,0.7833333333333333,3,0.32191780821917804,2.0,False,Rank
1,6,Kelly Monaco,99,finalist,1,3,27.5,30.0,0.9166666666666666,2,0.5045871559633027,1.0,False,Rank
1,1,Evander Holyfield,3,eliminated,5,3,18.0,30.0,0.6,6,0.16513761467889906,4.5,False,Rank
1,2,Evander Holyfield,3,eliminated,5,3,14.0,30.0,0.4666666666666667,6,0.11570247933884298,6.0,False,Rank
1,3,Evander Holyfield,3,eliminated,5,3,13.0,30.0,0.43333333333333335,5,0.12264150943396228,5.0,True,Rank
1,1,Rachel Hunter,4,eliminated,4,3,20.0,30.0,0.6666666666666666,6,0.18348623853211007,2.0,False,Rank
1,2,Rachel Hunter,4,eliminated,4,3,24.0,30.0,0.8,6,0.19834710743801653,2.0,False,Rank
1,3,Rachel Hunter,4,eliminated,4,3,26.0,30.0,0.8666666666666667,5,0.24528301886792456,1.0,False,Rank
1,4,Rachel Hunter,4,eliminated,4,3,25.0,30.0,0.8333333333333334,4,0.27173913043478265,2.0,True,Rank
1,1,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,6,0.18348623853211007,2.0,False,Rank
1,2,Joey McIntyre,99,finalist,3,3,21.0,30.0,0.7,6,0.17355371900826447,3.0,False,Rank
1,3,Joey McIntyre,99,finalist,3,3,22.0,30.0,0.7333333333333333,5,0.20754716981132074,3.0,False,Rank
