season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system,estimated_fan_share,share_std,confidence,n_valid_sims
1,1,John O'Hurley,99,finalist,2,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0
1,1,Kelly Monaco,99,finalist,1,3,13.0,30.0,0.4333333333333333,6,0.1192660550458715,6.0,False,Rank,0.166667,,,0
1,1,Evander Holyfield,3,eliminated,5,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.166667,,,0
1,1,Rachel Hunter,4,eliminated,4,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0
1,1,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.166667,,,0
1,1,Trista Sutter,2,eliminated,6,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.166667,,,0
1,2,John O'Hurley,99,finalist,2,3,26.0,30.0,0.8666666666666667,6,0.2148760330578512,1.0,False,Rank,0.166891,0.153982,0.182,1820
1,2,Kelly Monaco,99,finalist,1,3,17.0,30.0,0.5666666666666667,6,0.140495867768595,5.0,False,Rank,0.198557,0.153165,0.182,1820
1,2,Evander Holyfield,3,eliminated,5,3,14.0,30.0,0.4666666666666667,6,0.1157024793388429,6.0,False,Rank,0.245775,0.148187,0.182,1820
1,2,Rachel Hunter,4,eliminated,4,3,24.0,30.0,0.8,6,0.1983471074380165,2.0,False,Rank,0.166097,0.149779,0.182,1820
1,2,Joey McIntyre,99,finalist,3,3,21.0,30.0,0.7,6,0.1735537190082644,3.0,False,Rank,0.19169,0.14771,0.182,1820
1,2,Trista Sutter,2,eliminated,6,3,19.0,30.0,0.6333333333333333,6,0.1570247933884297,4.0,True,Rank,0.03099,0.030658,0.182,1820
1,3,John O'Hurley,99,finalist,2,3,24.0,30.0,0.8,5,0.2264150943396226,2.0,False,Rank,0.208955,0.179568,0.4316,4316
1,3,Kelly Monaco,99,finalist,1,3,21.0,30.0,0.7,5,0.1981132075471698,4.0,False,Rank,0.283827,0.178935,0.4316,4316
1,3,Evander Holyfield,3,eliminated,5,3,13.0,30.0,0.4333333333333333,5,0.1226415094339622,5.0,True,Rank,0.069751,0.064979,0.4316,4316
1,3,Rachel Hunter,4,eliminated,4,3,26.0,30.0,0.8666666666666667,5,0.2452830188679245,1.0,False,Rank,0.216794,0.187408,0.4316,4316
1,3,Joey McIntyre,99,finalist,3,3,22.0,30.0,0.7333333333333333,5,0.2075471698113207,3.0,False,Rank,0.220673,0.180012,0.4316,4316
1,4,John O'Hurley,99,finalist,2,3,21.0,30.0,0.7,4,0.2282608695652174,3.0,False,Rank,0.27041,0.195513,0.1671,1671
1,4,Kelly Monaco,99,finalist,1,3,26.0,30.0,0.8666666666666667,4,0.2826086956521739,1.0,False,Rank,0.26879,0.197736,0.1671,1671
1,4,Rachel Hunter,4,eliminated,4,3,25.0,30.0,0.8333333333333334,4,0.2717391304347826,2.0,True,Rank,0.051511,0.047032,0.1671,1671
1,4,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,4,0.217391304347826,4.0,False,Rank,0.409289,0.184767,0.1671,1671
1,5,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,3,0.3698630136986301,1.0,False,Rank,0.333333,,,0
1,5,Kelly Monaco,99,finalist,1,3,23.5,30.0,0.7833333333333333,3,0.321917808219178,2.0,False,Rank,0.333333,,,0
1,5,Joey McIntyre,99,finalist,3,3,22.5,30.0,0.75,3,0.3082191780821917,3.0,False,Rank,0.333333,,,0
1,6,John O'Hurley,99,finalist,2,3,27.0,30.0,0.9,2,0.4954128440366973,2.0,False,Rank,0.5,,,0
1,6,Kelly Monaco,99,finalist,1,3,27.5,30.0,0.9166666666666666,2,0.5045871559633027,1.0,False,Rank,0.5,,,0
2,1,Tatum O'Neal,2,eliminated,9,3,23.0,30.0,0.7666666666666667,10,0.1179487179487179,2.5,False,Rank,0.102018,0.099494,0.2555,2555
2,1,Tia Carrere,5,eliminated,6,3,20.0,30.0,0.6666666666666666,10,0.1025641025641025,6.0,False,Rank,0.106407,0.099994,0.2555,2555
2,1,George Hamilton,6,eliminated,5,3,18.0,30.0,0.6,10,0.0923076923076923,8.0,False,Rank,0.125837,0.101881,0.2555,2555
2,1,Lisa Rinna,7,eliminated,4,3,19.0,30.0,0.6333333333333333,10,0.0974358974358974,7.0,False,Rank,0.111727,0.100053,0.2555,2555
2,1,Stacy Keibler,99,finalist,3,3,22.0,30.0,0.7333333333333333,10,0.1128205128205128,4.0,False,Rank,0.102348,0.102089,0.2555,2555
2,1,Jerry Rice,99,finalist,2,3,21.0,30.0,0.7,10,0.1076923076923076,5.0,False,Rank,0.101138,0.10073,0.2555,2555
