season,week,celebrity_name,exit_week,result_type,placement,n_judges,raw_score_sum,max_possible_points,normalized_score,n_contestants,judge_share,judge_rank,is_eliminated,rule_system,estimated_fan_share,share_std,share_entropy,confidence,n_valid_sims,prior_strength,posterior_strength
1,1,Evander Holyfield,3,eliminated,5,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.16168099561912352,,,,,6.0710789977923,6.0710789977923
1,1,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,John O'Hurley,99,finalist,2,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,Kelly Monaco,99,finalist,1,3,13.0,30.0,0.4333333333333333,6,0.1192660550458715,6.0,False,Rank,0.08235768307113464,,,,,6.0710789977923,6.0710789977923
1,1,Rachel Hunter,4,eliminated,4,3,20.0,30.0,0.6666666666666666,6,0.18348623853211,2.0,False,Rank,0.19809344189687272,,,,,6.0710789977923,6.0710789977923
1,1,Trista Sutter,2,eliminated,6,3,18.0,30.0,0.6,6,0.165137614678899,4.5,False,Rank,0.16168099561912352,,,,,6.0710789977923,6.0710789977923
1,2,Evander Holyfield,3,eliminated,5,3,14.0,30.0,0.4666666666666667,6,0.1157024793388429,6.0,False,Rank,0.17986740844923538,0.11777697250590942,3.0279982062127457,0.0971,971.0,6.330605405448244,8.330605405448244
1,2,Joey McIntyre,99,finalist,3,3,21.0,30.0,0.7,6,0.1735537190082644,3.0,False,Rank,0.2125941790063074,0.14490706323293606,3.2284790750492256,0.0971,971.0,6.330605405448244,8.330605405448244
1,2,John O'Hurley,99,finalist,2,3,26.0,30.0,0.8666666666666667,6,0.2148760330578512,1.0,False,Rank,0.24802238028425386,0.15711458677915782,3.370580238206598,0.0971,971.0,6.330605405448244,8.330605405448244
1,2,Kelly Monaco,99,finalist,1,3,17.0,30.0,0.5666666666666667,6,0.140495867768595,5.0,False,Rank,0.10487007316211387,0.10169638490963824,2.6185254426992364,0.0971,971.0,6.330605405448244,8.330605405448244
1,2,Rachel Hunter,4,eliminated,4,3,24.0,30.0,0.8,6,0.1983471074380165,2.0,False,Rank,0.22790646747795268,0.15790544053922634,3.312660671284047,0.0971,971.0,6.330605405448244,8.330605405448244
1,2,Trista Sutter,2,eliminated,6,3,19.0,30.0,0.6333333333333333,6,0.1570247933884297,4.0,True,Rank,0.026739491620136776,0.025959628374391232,1.316140563110293,0.0971,971.0,6.330605405448244,8.330605405448244
1,3,Evander Holyfield,3,eliminated,5,3,13.0,30.0,0.4333333333333333,5,0.1226415094339622,5.0,True,Rank,0.027757964772778598,0.035412495588537804,1.3623920944170844,0.5608,5608.0,9.508128338445196,11.508128338445198
1,3,Joey McIntyre,99,finalist,3,3,22.0,30.0,0.7333333333333333,5,0.2075471698113207,3.0,False,Rank,0.22517415492295226,0.13034356456680948,3.2100729795971903,0.5608,5608.0,9.508128338445196,11.508128338445198
1,3,John O'Hurley,99,finalist,2,3,24.0,30.0,0.8,5,0.2264150943396226,2.0,False,Rank,0.31761712216301985,0.14441384821401013,3.3675252653288874,0.5608,5608.0,9.508128338445196,11.508128338445198
1,3,Kelly Monaco,99,finalist,1,3,21.0,30.0,0.7,5,0.1981132075471698,4.0,False,Rank,0.11624492602953267,0.0977635658783817,2.7323058194673338,0.5608,5608.0,9.508128338445196,11.508128338445198
1,3,Rachel Hunter,4,eliminated,4,3,26.0,30.0,0.8666666666666667,5,0.2452830188679245,1.0,False,Rank,0.31320583211171704,0.1443848288016815,3.365977374979675,0.5608,5608.0,9.508128338445196,11.508128338445198
1,4,Joey McIntyre,99,finalist,3,3,20.0,30.0,0.6666666666666666,4,0.217391304347826,4.0,False,Rank,0.3539875587699383,0.13957540306970523,3.0784784606446403,0.0161,161.0,12.981996407375606,14.981996407375608
1,4,John O'Hurley,99,finalist,2,3,21.0,30.0,0.7,4,0.2282608695652174,3.0,False,Rank,0.2759938726936284,0.14296397241981953,3.2562555253137995,0.0161,161.0,12.981996407375606,14.981996407375608
1,4,Kelly Monaco,99,finalist,1,3,26.0,30.0,0.8666666666666667,4,0.2826086956521739,1.0,False,Rank,0.2622325538864035,0.1493361339583521,3.0981266060420407,0.0161,161.0,12.981996407375606,14.981996407375608
1,4,Rachel Hunter,4,eliminated,4,3,25.0,30.0,0.8333333333333334,4,0.2717391304347826,2.0,True,Rank,0.10778601465002977,0.06633285294871244,2.4072143172096023,0.0161,161.0,12.981996407375606,14.981996407375608
